element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,3,"=""""","=""""","=""573.29""","=""""","=""4.94e-02""",C,"=""34123.2""","=""51561.4""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",4,4,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""573.29""","=""""","=""6.5e-02""",D,"=""34123.2""","=""51561.4""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",4,4,E2,"=""T335""","=""""",
F,3,"=""""","=""""","=""573.32""","=""""","=""3.09e-02""",C,"=""34123.2""","=""51560.6""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",4,2,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""573.32""","=""""","=""1.3e-01""",D,"=""34123.2""","=""51560.6""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",4,2,E2,"=""T335""","=""""",
F,1,"=""604.754""","=""0.003""","=""604.753+""","=""900""","=""2.36e+05""",C,"=""102405.71""","=""118936.80""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",6,4,,"=""T7043""","=""L7481""",
F,1,"=""614.976""","=""0.003""","=""614.974+""","=""800""","=""1.90e+05""",C,"=""102680.44""","=""118936.80""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",4,4,,"=""T7043""","=""L7481""",
F,1,"=""621.087""","=""0.003""","=""621.084+""","=""400""","=""9.2e+04""",C,"=""102840.38""","=""118936.80""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",2,4,,"=""T7043""","=""L7481""",
F,1,"=""623.9651""","=""0.0002""","=""623.965+""","=""13000""","=""2.90e+07""",C+,"=""102405.71""","=""118427.82""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",6,4,,"=""T7043""","=""L7481""",
F,1,"=""634.8508""","=""0.0002""","=""634.851+""","=""10000""","=""2.32e+07""",C+,"=""102680.44""","=""118427.82""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",4,4,,"=""T7043""","=""L7481""",
F,1,"=""641.3651""","=""0.0002""","=""641.365+""","=""8000""","=""1.36e+07""",C+,"=""102840.38""","=""118427.82""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",2,4,,"=""T7043""","=""L7481""",
