element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,3,"=""210.3296""","=""210.3295""","=""15000""","=""1.19e+09""",,"=""98763.19""","=""146292.56""","=""5s.5p""","=""1P*""","=""1""","=""5p2""","=""1S""","=""0""",3,1,,"=""T6869""","=""L9267""",
Zr,3,"=""210.4198""","=""210.4198""","=""10000""","=""4.06e+07""",,"=""57684.12""","=""105193.10""","=""4d.5p""","=""3F*""","=""4""","=""4d.5d""","=""3G""","=""4""",9,9,,"=""T6869""","=""L9267""",
Zr,3,"=""210.5250""","=""210.52508""","=""10""","=""1.95e+07""",,"=""62117.41""","=""109602.63""","=""4d.5p""","=""1P*""","=""1""","=""4d.5d""","=""3P""","=""1""",3,3,,"=""T6869""","=""L9267""",
Zr,3,"=""210.8414""","=""210.8414""","=""8000""","=""1.51e+09""",,"=""79439.92""","=""126853.90""","=""5s.5p""","=""3P*""","=""0""","=""5p2""","=""3P""","=""1""",1,3,,"=""T6869""","=""L9267""",
Zr,3,"=""211.4040""","=""211.39985""","=""500000""","=""1.18e+07""",,"=""8327.12""","=""55615.87""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""3D*""","=""1""",3,3,,"=""T6869""","=""L9267""",
Zr,3,"=""211.4040""","=""211.40263""","=""500000""","=""2.12e+08""",,"=""57348.86""","=""104636.99""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""3G""","=""3""",7,7,,"=""T6869""","=""L9267""",
Zr,3,"=""211.4040""","=""211.4045""","=""500000""","=""1.19e+08""",,"=""56437.77""","=""103725.49""","=""4d.5p""","=""3D*""","=""2""","=""4d.5d""","=""3D""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""211.4040""","=""211.40808""","=""500000""","=""2.43e+08""",,"=""59699.47""","=""106986.38""","=""4d.5p""","=""3P*""","=""1""","=""4d.5d""","=""3S""","=""1""",3,3,,"=""T6869""","=""L9267""",
Zr,3,"=""211.6297""","=""211.62991""","=""4000""","=""3.15e+06""",,"=""8839.97""","=""56077.32""","=""4d2""","=""3P""","=""2""","=""4d.5p""","=""3F*""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""211.6607""","=""211.66070""","=""3500""","=""3.41e+06""",,"=""8327.12""","=""55557.60""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""3F*""","=""2""",3,5,,"=""T6869""","=""L9267""",
